epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice,tra_entropy,val_entropy,tra_KL,val_KL
0,0.4907,0.2384,0.0480,0.0962,0.0480,0.0962,0.4903,0.2382,0.0004,0.0002
1,0.1830,0.1346,0.0571,0.3436,0.0571,0.3436,0.1829,0.1345,0.0001,0.0001
2,0.1130,0.0922,0.1625,0.4254,0.1625,0.4254,0.1129,0.0921,0.0001,0.0001
3,0.0784,0.0666,0.2376,0.4642,0.2376,0.4642,0.0783,0.0665,0.0000,0.0000
4,0.0579,0.0514,0.3004,0.5225,0.3004,0.5225,0.0579,0.0514,0.0000,0.0000
5,0.0459,0.0424,0.4096,0.5351,0.4096,0.5351,0.0459,0.0423,0.0000,0.0000
6,0.0373,0.0446,0.4386,0.5216,0.4386,0.5216,0.0373,0.0446,0.0000,0.0000
7,0.0320,0.0419,0.4873,0.5383,0.4873,0.5383,0.0320,0.0419,0.0000,0.0000
8,0.0268,0.0353,0.5496,0.5728,0.5496,0.5728,0.0268,0.0353,0.0000,0.0000
9,0.0227,0.0350,0.6039,0.5556,0.6039,0.5556,0.0227,0.0350,0.0000,0.0000
10,0.0203,0.0293,0.6183,0.6203,0.6183,0.6203,0.0203,0.0293,0.0000,0.0000
11,0.0180,0.0365,0.6287,0.5347,0.6287,0.5347,0.0180,0.0364,0.0000,0.0000
12,0.0156,0.0396,0.7014,0.5308,0.7014,0.5308,0.0156,0.0396,0.0000,0.0000
13,0.0141,0.0339,0.7015,0.6010,0.7015,0.6010,0.0141,0.0339,0.0000,0.0000
14,0.0132,0.0397,0.6931,0.5286,0.6931,0.5286,0.0132,0.0397,0.0000,0.0000
15,0.0121,0.0321,0.7492,0.5510,0.7492,0.5510,0.0121,0.0321,0.0000,0.0000
16,0.0120,0.0435,0.7372,0.4999,0.7372,0.4999,0.0120,0.0435,0.0000,0.0000
17,0.0106,0.0355,0.7654,0.5788,0.7654,0.5788,0.0106,0.0355,0.0000,0.0000
18,0.0096,0.0366,0.7799,0.5567,0.7799,0.5567,0.0096,0.0366,0.0000,0.0000
19,0.0097,0.0349,0.7684,0.5782,0.7684,0.5782,0.0097,0.0348,0.0000,0.0000
20,0.0089,0.0325,0.7936,0.6168,0.7936,0.6168,0.0089,0.0325,0.0000,0.0000
21,0.0096,0.0399,0.7640,0.5883,0.7640,0.5883,0.0096,0.0399,0.0000,0.0000
22,0.0083,0.0373,0.8067,0.6214,0.8067,0.6214,0.0083,0.0373,0.0000,0.0000
23,0.0079,0.0497,0.8104,0.5012,0.8104,0.5012,0.0079,0.0497,0.0000,0.0000
24,0.0077,0.0379,0.8203,0.5857,0.8203,0.5857,0.0077,0.0379,0.0000,0.0000
25,0.0081,0.0380,0.7994,0.6139,0.7994,0.6139,0.0081,0.0380,0.0000,0.0000
26,0.0073,0.0394,0.8362,0.5943,0.8362,0.5943,0.0073,0.0394,0.0000,0.0000
27,0.0069,0.0363,0.8371,0.5796,0.8371,0.5796,0.0069,0.0363,0.0000,0.0000
28,0.0070,0.0395,0.8373,0.6220,0.8373,0.6220,0.0070,0.0395,0.0000,0.0000
29,0.0070,0.0386,0.8277,0.6048,0.8277,0.6048,0.0070,0.0386,0.0000,0.0000
30,0.0064,0.0367,0.8348,0.6220,0.8348,0.6220,0.0064,0.0367,0.0000,0.0000
31,0.0063,0.0460,0.8392,0.5225,0.8392,0.5225,0.0063,0.0460,0.0000,0.0000
32,0.0062,0.0493,0.8568,0.5399,0.8568,0.5399,0.0062,0.0493,0.0000,0.0000
33,0.0062,0.0426,0.8554,0.5691,0.8554,0.5691,0.0062,0.0426,0.0000,0.0000
34,0.0060,0.0396,0.8518,0.6101,0.8518,0.6101,0.0060,0.0395,0.0000,0.0000
