epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,0.4525,0.2197,0.1186,0.4498,0.1186,0.4498
1,0.1702,0.1379,0.0886,0.3612,0.0886,0.3612
2,0.1095,0.0888,0.0627,0.4848,0.0627,0.4848
3,0.0790,0.0660,0.0569,0.4639,0.0569,0.4639
4,0.0616,0.0781,0.0756,0.4717,0.0756,0.4717
5,0.0502,0.0783,0.1338,0.4721,0.1338,0.4721
6,0.0423,0.0450,0.1637,0.4764,0.1637,0.4764
7,0.0366,0.0398,0.2178,0.4999,0.2178,0.4999
8,0.0320,0.0354,0.2770,0.5630,0.2770,0.5630
9,0.0287,0.0389,0.3196,0.5234,0.3196,0.5234
10,0.0247,0.0419,0.4056,0.4961,0.4056,0.4961
11,0.0224,0.0517,0.4318,0.5466,0.4318,0.5466
12,0.0206,0.0431,0.4860,0.5176,0.4860,0.5176
13,0.0173,0.0470,0.5402,0.5635,0.5402,0.5635
14,0.0165,0.0340,0.5479,0.5897,0.5479,0.5897
15,0.0149,0.0372,0.6195,0.5257,0.6195,0.5257
16,0.0142,0.0385,0.5920,0.5436,0.5920,0.5436
17,0.0133,0.0358,0.6577,0.5625,0.6577,0.5625
18,0.0119,0.0511,0.6627,0.5298,0.6627,0.5298
19,0.0138,0.0462,0.6031,0.5448,0.6031,0.5448
20,0.0107,0.0423,0.6809,0.5719,0.6809,0.5719
21,0.0099,0.0526,0.7067,0.5363,0.7067,0.5363
22,0.0099,0.0487,0.7218,0.5545,0.7218,0.5545
23,0.0095,0.0396,0.7352,0.5963,0.7352,0.5963
24,0.0095,0.0424,0.7345,0.6049,0.7345,0.6049
25,0.0094,0.0484,0.7387,0.5825,0.7387,0.5825
26,0.0085,0.0425,0.7667,0.6020,0.7667,0.6020
27,0.0084,0.0574,0.7695,0.5666,0.7695,0.5666
28,0.0085,0.0411,0.7536,0.5921,0.7536,0.5921
29,0.0084,0.0494,0.7686,0.5468,0.7686,0.5468
30,0.0083,0.0541,0.7942,0.5513,0.7942,0.5513
31,0.0075,0.0399,0.7976,0.6004,0.7976,0.6004
32,0.0073,0.0504,0.8111,0.5364,0.8111,0.5364
33,0.0069,0.0556,0.8148,0.5616,0.8148,0.5616
34,0.0074,0.0438,0.8042,0.5892,0.8042,0.5892
35,0.0070,0.0521,0.8073,0.5751,0.8073,0.5751
36,0.0067,0.0431,0.8235,0.5939,0.8235,0.5939
37,0.0064,0.0821,0.8291,0.4431,0.8291,0.4431
38,0.0066,0.0466,0.8240,0.5679,0.8240,0.5679
39,0.0063,0.0445,0.8399,0.5991,0.8399,0.5991
40,0.0060,0.0623,0.8338,0.5442,0.8338,0.5442
41,0.0060,0.0513,0.8418,0.5877,0.8418,0.5877
42,0.0060,0.0655,0.8570,0.5107,0.8570,0.5107
43,0.0058,0.0535,0.8502,0.5307,0.8502,0.5307
44,0.0057,0.0572,0.8517,0.5637,0.8517,0.5637
45,0.0057,0.0478,0.8508,0.5633,0.8508,0.5633
46,0.0058,0.0525,0.8462,0.5514,0.8462,0.5514
47,0.0056,0.0530,0.8575,0.5713,0.8575,0.5713
48,0.0053,0.0504,0.8649,0.5774,0.8649,0.5774
49,0.0052,0.0520,0.8736,0.5599,0.8736,0.5599
50,0.0050,0.0497,0.8787,0.5659,0.8787,0.5659
51,0.0050,0.0458,0.8720,0.6128,0.8720,0.6128
52,0.0052,0.0548,0.8602,0.5635,0.8602,0.5635
53,0.0050,0.0691,0.8737,0.5047,0.8737,0.5047
54,0.0053,0.0480,0.8546,0.5466,0.8546,0.5466
55,0.0050,0.0473,0.8760,0.5800,0.8760,0.5800
56,0.0046,0.0571,0.8803,0.5744,0.8803,0.5744
57,0.0047,0.0463,0.8902,0.6024,0.8902,0.6024
58,0.0047,0.0532,0.8793,0.6132,0.8793,0.6132
59,0.0048,0.0534,0.8826,0.5735,0.8826,0.5735
60,0.0045,0.0598,0.8891,0.5910,0.8891,0.5910
61,0.0046,0.0615,0.8782,0.5481,0.8782,0.5481
62,0.0045,0.0542,0.8875,0.5123,0.8875,0.5123
63,0.0044,0.0624,0.8862,0.5295,0.8862,0.5295
64,0.0042,0.0524,0.8929,0.5839,0.8929,0.5839
65,0.0041,0.0489,0.8986,0.5628,0.8986,0.5628
66,0.0041,0.0726,0.9060,0.5254,0.9060,0.5254
67,0.0042,0.0518,0.8858,0.5676,0.8858,0.5676
68,0.0041,0.0594,0.8973,0.5338,0.8973,0.5338
69,0.0040,0.0501,0.9119,0.5680,0.9119,0.5680
70,0.0040,0.0506,0.9052,0.5697,0.9052,0.5697
71,0.0039,0.0623,0.8976,0.5392,0.8976,0.5392
72,0.0041,0.0583,0.8988,0.5088,0.8988,0.5088
73,0.0041,0.0487,0.8958,0.5428,0.8958,0.5428
74,0.0039,0.0529,0.8979,0.5680,0.8979,0.5680
75,0.0039,0.0642,0.9005,0.5327,0.9005,0.5327
76,0.0038,0.0602,0.9068,0.5515,0.9068,0.5515
77,0.0037,0.0511,0.9031,0.5914,0.9031,0.5914
78,0.0038,0.0590,0.9002,0.5820,0.9002,0.5820
79,0.0036,0.0512,0.9120,0.5524,0.9120,0.5524
80,0.0036,0.0573,0.9134,0.5331,0.9134,0.5331
81,0.0037,0.0663,0.9007,0.5277,0.9007,0.5277
82,0.0037,0.0595,0.9032,0.5138,0.9032,0.5138
83,0.0036,0.0550,0.9183,0.5844,0.9183,0.5844
84,0.0036,0.0557,0.9114,0.5944,0.9114,0.5944
85,0.0034,0.0572,0.9208,0.5287,0.9208,0.5287
86,0.0034,0.0544,0.9120,0.5749,0.9120,0.5749
87,0.0032,0.0564,0.9240,0.5576,0.9240,0.5576
88,0.0033,0.0615,0.9254,0.5655,0.9254,0.5655
89,0.0034,0.0556,0.9186,0.5760,0.9186,0.5760
90,0.0034,0.0528,0.9132,0.5680,0.9132,0.5680
91,0.0033,0.0500,0.9202,0.4875,0.9202,0.4875
92,0.0031,0.0759,0.9239,0.5406,0.9239,0.5406
93,0.0031,0.0517,0.9195,0.5802,0.9195,0.5802
94,0.0032,0.0617,0.9198,0.5807,0.9198,0.5807
95,0.0032,0.0602,0.9226,0.5571,0.9226,0.5571
96,0.0031,0.0620,0.9147,0.5476,0.9147,0.5476
97,0.0031,0.0570,0.9270,0.5881,0.9270,0.5881
98,0.0031,0.0692,0.9285,0.5715,0.9285,0.5715
99,0.0031,0.0608,0.9235,0.5437,0.9235,0.5437
